cdibge,nmmun,ProducaoE2011,ProducaoE2012
330010,Angra dos Reis,148.02,133.9
330015,Aperibé,5.22,6.64
330020,Araruama,88.51,91.58
330022,Areal,5.79,6.85
330023,Armação dos Búzios,20.05,31.14
330025,Arraial do Cabo,19.07,26.61
330030,Barra do Piraí,71.62,69.89
330040,Barra Mansa,148.21,160.34
330045,Belford Roxo,425.47,525.65
330050,Bom Jardim,14.12,10.69
330060,Bom Jesus do Itabapoana,21.33,21.55
330070,Cabo Frio,185.2,126.44
330080,Cachoeiras de Macacu,36.2,32.86
330090,Cambuci,7.42,7.23
330100,Campos dos Goytacazes,422.28,368.48
330110,Cantagalo,10.9,9.53
330093,Carapebus,6.91,8.96
330115,Cardoso Moreira,6.27,6.04
330120,Carmo,9.71,8.89
330130,Casimiro de Abreu,20.18,20.25
330095,Comendador Levy Gasparian,4.1,5.27
330140,Conceição de Macabu,11.79,13.94
330150,Cordeiro,11.32,14.1
330160,Duas Barras,5.5,5.03
330170,Duque de Caxias,863.01,1005.52
330180,Engenheiro Paulo de Frontin,6.67,6.76
330185,Guapimirim,34.35,34.82
330187,Iguaba Grande,13.22,16.45
330190,Itaboraí,183.56,165.87
330200,Itaguaí,83.91,95.87
330205,Italva,7.08,7.17
330210,Itaocara,12.59,11.78
330220,Itaperuna,72.59,68.04
330225,Itatiaia,17.62,18.63
330227,Japeri,72.45,76.39
330230,Laje do Muriaé,3.72,3.83
330240,Macaé,171.34,190.69
330245,Macuco,2.65,2.8
330250,Magé,191.22,174.34
330260,Mangaratiba,22.83,28.59
330270,Maricá,107.58,106.67
330280,Mendes,9.9,12.21
330285,Mesquita,120.41,154.91
330290,Miguel Pereira,13.85,15.48
330300,Miracema,14.74,17.62
330310,Natividade,7.54,8.67
330320,Nilópolis,118.4,124.37
330330,Niterói,441.1,477.81
330340,Nova Friburgo,154.95,130.69
330350,Nova Iguaçu,743.54,921.45
330360,Paracambi,31.03,29.62
330370,Paraíba do Sul,26.95,25.67
330380,Paraty,25.47,19.11
330385,Paty do Alferes,14.74,12.82
330390,Petrópolis,269.08,250.34
330395,Pinheiral,12.68,13.88
330400,Pira,14.7,17.09
330410,Porciúncula,9.87,9.17
330411,Porto Real,9.36,10.56
330412,Quatis,6.52,7.7
330414,Queimados,104.65,104.85
330415,Quissamã,11.5,8.45
330420,Resende,91.75,89.86
330430,Rio Bonito,36.51,30.12
330440,Rio Claro,9.64,8.54
330450,Rio das Flores,4.32,3.87
330452,Rio das Ostras,89.8,77.93
330455,Rio de Janeiro,7993.79,8406.19
330460,Santa Maria Madalena,5.15,3.97
330470,Santo Antônio de Pádua,26.49,21.77
330480,São Fidélis,24.83,19.88
330475,São Francisco de Itabapoana,24.46,14.76
330490,São Gonçalo,1010.78,1108.89
330500,São João da Barra,18.3,19.01
330510,São João de Meriti,414.31,389.87
330513,São José de Ubá,3.53,1.92
330515,São José do Vale do Rio Preto,11.19,6.3
330520,São Pedro da Aldeia,71.26,57.5
330530,São Sebastião do Alto,4.48,3.37
330540,Sapucaia,9.65,9.69
330550,Saquarema,60.4,57.77
330555,Seropédica,55.63,45.64
330560,Silva Jardim,11.75,11.28
330570,Sumidouro,7.5,3.48
330575,Tanguá,17.16,17.28
330580,Teresópolis,126.34,116.97
330590,Trajano de Moraes,5.15,3.44
330600,Três Rios,54.64,58.63
330610,Valença,50.8,45.42
330615,Varre-Sai,4.83,4
330620,Vassouras,20.91,15.78
330630,Volta Redonda,215.46,219.03
